word,score
SAUNA,2629
SHINY,2628
TRUCK,2628
SMITH,2627
SEGUE,2626
STOCK,2626
VIGOR,2626
DRINK,2624
DROOL,2624
MAGIC,2624
TRUMP,2624
CANON,2623
STOMP,2622
BRING,2621
SMIRK,2621
TROOP,2621
SLASH,2620
SORRY,2620
TABOO,2620
HENCE,2619
MIDST,2619
HARRY,2616
HUMAN,2616
STUNG,2616
TRYST,2615
DROLL,2614
EVENT,2614
CLOUD,2613
COULD,2613
CYCLE,2613
CLING,2612
ELEGY,2612
YOUTH,2612
ANNUL,2611
BLUNT,2611
WATCH,2611
SHRUG,2608
FLASK,2607
SWELL,2605
WRACK,2605
ALBUM,2603
TYING,2603
CHALK,2602
MINTY,2600
STICK,2600
BLANK,2599
ANNEX,2598
SPINY,2597
SUING,2597
USING,2597
SLUNG,2596
TOXIN,2596
FLUKE,2595
SCOWL,2595
WEIGH,2595
ANNOY,2594
FERRY,2594
MINUS,2594
ROCKY,2591
CRIMP,2590
BIRCH,2589
BRISK,2589
THEME,2589
THONG,2589
AXIOM,2588
BONUS,2588
DRILL,2588
PENCE,2588
LUCID,2587
JOINT,2586
MONTH,2586
SHEEP,2586
PARRY,2585
LYING,2583
NEEDY,2582
POUTY,2581
FLECK,2580
PRIOR,2580
SLICK,2580
EXILE,2579
SPEED,2578
BIGOT,2577
HAVOC,2574
MOTOR,2574
NOBLY,2574
BRUSH,2573
DOGMA,2573
SHRUB,2573
GROWN,2572
SHACK,2572
WRONG,2572
ITCHY,2571
QUEER,2569
FILTH,2566
PETTY,2566
SMALL,2565
LEDGE,2564
SEVEN,2564
STINT,2564
CHESS,2563
NIGHT,2563
THING,2563
DINGO,2562
DOING,2562
AFOOT,2561
DROSS,2561
BALMY,2559
EQUIP,2558
PIQUE,2558
JERKY,2556
LIMBO,2554
UNFIT,2553
ABBOT,2551
SILKY,2551
FANCY,2550
SEIZE,2550
GOOEY,2549
KNELL,2549
TEDDY,2549
EPOXY,2548
DUSTY,2547
